Mes,ME/USD,Moneda,Anho,G/ME
10,"9,2220",SEK,2002,"699,41"
10,"2,4957",NLG,2002,"2.584,45"
10,"7,5559",DKK,2002,"853,64"
10,"188,4300",ESP,2002,"34,23"
10,"7,5040",NOK,2002,"859,54"
10,"15,5836",ATS,2002,"413,90"
10,"2.192,8300",ITL,2002,"2,94"
10,"45,6850",BEF,2002,"141,18"
10,"3,7400",BRL,2002,"1.724,60"
10,"3,5500",ARS,2002,"1.816,90"
10,"1,5668",CAD,2002,"4.116,67"
10,"10,1010",ZAR,2002,"638,55"
10,"1,3200",SDR,2002,"8.514,00"
10,"316,5000",XAU,2002,"2.041.425,00"
10,"1.393,0100",VEF,2002,"4,63"
10,"733,8000",CLP,2002,"8,79"
10,"0,9835",EUR,2002,"6.343,58"
10,"26,0000",UYU,2002,"248,08"
11,"1,0000",USD,2002,"6.900,00"
11,"2,2150",DEM,2002,"3.115,12"
11,"122,0900",JPY,2002,"56,52"
11,"1,5531",GBP,2002,"10.716,39"
11,"1,4833",CHF,2002,"4.651,79"
11,"7,4287",FRF,2002,"928,83"
11,"9,1135",SEK,2002,"757,12"
11,"2,4957",NLG,2002,"2.764,76"
11,"7,4653",DKK,2002,"924,28"
11,"188,4300",ESP,2002,"36,62"
11,"7,3286",NOK,2002,"941,52"
11,"15,5836",ATS,2002,"442,77"
11,"2.192,8300",ITL,2002,"3,15"
11,"45,6850",BEF,2002,"151,03"
11,"3,6050",BRL,2002,"1.914,01"
11,"3,4900",ARS,2002,"1.977,08"
11,"1,5731",CAD,2002,"4.386,24"
11,"9,2280",ZAR,2002,"747,72"
11,"1,3248",SDR,2002,"9.141,12"
11,"317,6500",XAU,2002,"2.191.785,00"
11,"1.313,0000",VEF,2002,"5,26"
11,"705,0000",CLP,2002,"9,79"
11,"0,9944",EUR,2002,"6.861,36"
11,"27,1500",UYU,2002,"254,14"
12,"1,0000",USD,2002,"7.000,00"
12,"2,2150",DEM,2002,"3.160,27"
12,"118,7900",JPY,2002,"58,93"
12,"1,6031",GBP,2002,"11.221,70"
12,"1,3949",CHF,2002,"5.018,28"
12,"7,4287",FRF,2002,"942,29"
12,"8,7789",SEK,2002,"797,37"
12,"2,4957",NLG,2002,"2.804,82"
12,"7,1278",DKK,2002,"982,07"
12,"188,4300",ESP,2002,"37,15"
12,"6,9851",NOK,2002,"1.002,13"
12,"15,5836",ATS,2002,"449,19"
12,"2.192,8300",ITL,2002,"3,19"
12,"45,6850",BEF,2002,"153,22"
12,"3,5220",BRL,2002,"1.987,51"
12,"3,3900",ARS,2002,"2.064,90"
12,"1,5732",CAD,2002,"4.449,53"
12,"8,6160",ZAR,2002,"812,44"
12,"1,3514",SDR,2002,"9.459,80"
12,"347,5000",XAU,2002,"2.432.500,00"
12,"1.388,0000",VEF,2002,"5,04"
12,"718,5000",CLP,2002,"9,74"
12,"1,0419",EUR,2002,"7.293,30"
12,"26,9000",UYU,2002,"260,22"
1,"1,0000",USD,2003,"6.900,00"
1,"2,2150",DEM,2003,"3.115,12"
1,"119,1700",JPY,2003,"57,90"
1,"1,6467",GBP,2003,"11.362,23"
1,"1,3663",CHF,2003,"5.050,14"
1,"7,4287",FRF,2003,"928,83"
1,"8,5248",SEK,2003,"809,40"
1,"2,4957",NLG,2003,"2.764,76"
1,"6,9150",DKK,2003,"997,83"
1,"188,4300",ESP,2003,"36,62"
1,"6,8927",NOK,2003,"1.001,06"
1,"15,5836",ATS,2003,"442,77"
1,"2.192,8300",ITL,2003,"3,15"
1,"45,6850",BEF,2003,"151,03"
1,"3,5530",BRL,2003,"1.942,02"
1,"3,2500",ARS,2003,"2.123,08"
1,"1,5308",CAD,2003,"4.507,45"
1,"8,6300",ZAR,2003,"799,54"
1,"1,3726",SDR,2003,"9.470,94"
1,"367,5000",XAU,2003,"2.535.750,00"
1,"1.920,0000",VEF,2003,"3,59"
1,"735,0000",CLP,2003,"9,39"
1,"1,0748",EUR,2003,"7.416,12"
1,"27,5500",UYU,2003,"250,45"
2,"1,0000",USD,2003,"6.950,00"
2,"2,2150",DEM,2003,"3.137,70"
2,"117,4000",JPY,2003,"59,20"
2,"1,5772",GBP,2003,"10.961,54"
2,"1,3581",CHF,2003,"5.117,44"
2,"7,4287",FRF,2003,"935,56"
2,"8,4689",SEK,2003,"820,65"
2,"2,4957",NLG,2003,"2.784,79"
2,"6,8944",DKK,2003,"1.008,06"
2,"188,4300",ESP,2003,"36,88"
2,"7,2188",NOK,2003,"962,76"
2,"15,5836",ATS,2003,"445,98"
2,"2.192,8300",ITL,2003,"3,17"
2,"45,6850",BEF,2003,"152,13"
2,"3,5860",BRL,2003,"1.938,09"
2,"3,1800",ARS,2003,"2.185,53"
2,"1,4919",CAD,2003,"4.658,49"
2,"7,9837",ZAR,2003,"870,52"
2,"1,3690",SDR,2003,"9.514,55"
2,"351,6500",XAU,2003,"2.443.967,50"
2,"1.596,0000",VEF,2003,"4,35"
2,"752,5000",CLP,2003,"9,24"
2,"1,0773",EUR,2003,"7.487,24"
2,"28,2500",UYU,2003,"246,02"
3,"1,0000",USD,2003,"6.880,00"
3,"2,2150",DEM,2003,"3.106,09"
